depth_m,gamma_ray,resistivity,porosity,density,rop,wob,rpm,lithology,lithology_name
3285.60626972474,72.09780181798187,37.24075050744304,0.268823353924046,2.3340445376625842,22.103103102313167,21.801874104947863,109.29966096217782,0,Shale
2953.531590750054,61.924991108981544,45.027276807992855,0.11448275966524803,2.540332337100155,17.787618625868127,1.1938342416558907,87.09962947127198,1,Sandstone
3423.566829537432,71.27352570784252,37.4761024527205,0.18039049901838192,2.735169822279721,11.91532225053609,12.735002851856521,55.248993870600984,1,Sandstone
3044.667935383438,82.90197320941594,27.638454321427734,0.09518434800892116,2.4559580466426763,18.044205778897297,1.2838457164701396,86.1483335550165,2,Limestone
2354.8893246272937,10.392734658988914,24.668627322602397,0.09337070185318082,2.1179434904273227,27.611612531465195,23.59571524404648,107.20743230303782,2,Limestone
2762.4225361241656,109.00955426586435,20.219257373364478,0.2741339228429853,2.266042678023556,25.376319160492475,31.040521581948543,143.56303289021648,0,Shale
2497.283039743274,75.9583724484486,19.03048202845369,0.04689975760212156,2.3522996051279184,16.84275507194732,5.00578994466915,104.03196755082111,1,Sandstone
2645.8540177675786,108.19331889130093,29.467663324365677,0.2316009665469192,2.5327671373816667,15.269027197524494,14.167833970030086,127.44072841827962,0,Shale
2919.44669436437,74.01352551117533,41.05593145289484,0.09399640881784686,2.5811952011135655,23.93602378445207,9.488921513961625,154.87562969082268,1,Sandstone
2410.5386286745884,89.57426989397217,19.962121845363637,0.20158815536885594,2.5096739631473577,15.340963064380556,5.310937257416166,83.51876432209032,0,Shale
1699.7881880414964,87.62836096008341,7.107727358159348,0.13267539296858905,2.5654532929139995,34.51017805756415,5.721087070037111,110.23064606110356,0,Shale
2141.5583876434953,116.3768475061312,44.320786039045636,0.15021392743466794,2.535552467936897,21.808396659695138,7.912687138563997,123.91476592977735,0,Shale
2435.363970371761,61.649529947171615,36.80302892060476,0.09726402055446354,2.3570107519706434,26.462977807492745,12.259121633386982,115.27973900458488,0,Shale
2947.1487188110173,72.47525352241135,35.496698134880496,0.30856070638813904,2.4267445359657263,16.705664181528274,21.85242363470606,108.46890927857233,1,Sandstone
2686.6239230570955,31.253327732144953,20.061747111427287,0.1280381177116655,2.294320041223888,17.35239191268813,22.252310574793114,132.28615151888135,1,Sandstone
3472.6828447256516,65.3479035584015,32.001516648074244,0.1335689604540498,2.366172289160482,18.794427863966874,18.02017651489689,145.17048464559187,1,Sandstone
2724.570242810692,81.54950296923161,41.80643231660447,0.171503344040125,2.420337204410441,15.913135053902181,20.507910693615862,149.35648166583152,2,Limestone
2227.036833151705,88.27856622112874,47.894387110773735,0.1706311759675923,2.604094091563398,19.360880421397564,14.291341847032193,150.5404887773221,1,Sandstone
2196.9951842222827,104.65233532933212,38.98627866730486,0.21468470776784862,2.416479691060968,27.47561388417846,16.339163297610376,115.30857312481878,1,Sandstone
2489.103626924936,88.9311834488534,59.79854516737147,0.04318074491701737,2.751062570719139,24.3296455295586,1.7818848752314835,167.69988076153342,1,Sandstone
2553.8321937165283,62.318033981055194,17.15055338045172,0.24740426109980485,2.550659922277923,29.20480491657071,22.168526666370887,145.74555848593067,1,Sandstone
3031.999291195768,54.07041769784145,20.837069529954398,0.12089443691591811,2.121571483903745,23.694266507197092,24.155998970659443,123.92267161041727,1,Sandstone
3278.0978053666277,54.32790998508358,39.08445165645772,0.2661175214969597,2.6385599590822366,12.954489191416375,14.177993762800645,124.6848908889451,1,Sandstone
2999.631069200863,52.05134172560139,8.603724364464398,0.24050751851619195,2.413167224638387,23.215591146856443,28.83819861010119,156.02865305011844,2,Limestone
2388.309130412122,99.41566832513284,32.15545635009952,0.16601528140497193,2.424872549616952,17.48626706943119,13.359433796769041,120.75177930231084,0,Shale
